epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.85202,3.19375,8.55039,1.88018,0,0,0,0,4.49575,7.47358,2.31229,4e-05,4e-05,4e-05
2,5.25622,4.08042,10.6103,2.17079,0,0,0,0,4.07889,7.77033,2.18207,9.901e-05,9.901e-05,9.901e-05
3,7.7592,3.37058,7.75054,1.76394,0,0,0,0,4.05257,8.95839,2.10801,0.000156832,0.000156832,0.000156832
4,9.46197,3.52905,7.28858,1.83862,0.00899,0.11111,0.00418,0.0014,2.89253,14.7842,1.71418,0.000213466,0.000213466,0.000213466
5,10.9994,2.69203,4.40068,1.63305,0.32879,0.16667,0.17685,0.08103,2.53517,7.08145,1.35217,0.000268912,0.000268912,0.000268912
6,12.6354,2.15705,3.25636,1.33586,0.06144,0.11111,0.02311,0.0092,2.13024,4.03298,1.30563,0.00032317,0.00032317,0.00032317
7,13.9857,1.8294,2.67568,1.08082,0.07406,0.05556,0.01589,0.00975,1.74149,5.45051,1.16726,0.00037624,0.00037624,0.00037624
8,15.5038,1.73605,1.79624,1.17261,0.0427,0.05556,0.00898,0.00568,1.8339,6.13948,1.16239,0.000428122,0.000428122,0.000428122
9,16.895,1.83566,1.73948,1.12773,0.25565,0.16667,0.12467,0.03363,1.71421,4.78114,1.10387,0.000478816,0.000478816,0.000478816
10,18.8361,1.71895,1.68825,1.0333,0.03646,0.27778,0.02374,0.01285,1.71046,6.30393,1.09926,0.000528322,0.000528322,0.000528322
11,20.704,2.09172,1.55284,1.06992,0.11682,0.44444,0.07071,0.02506,1.87337,6.04067,1.19447,0.00057664,0.00057664,0.00057664
12,22.1285,1.7217,1.27736,1.04373,0.09743,0.22222,0.04741,0.01541,1.79716,5.85387,1.18532,0.00062377,0.00062377,0.00062377
13,23.5251,1.73094,1.29135,1.03172,0.2441,0.44444,0.16448,0.08404,1.6728,4.79381,1.14924,0.000669712,0.000669712,0.000669712
14,25.0154,1.91244,1.47878,1.46274,0.21112,0.55556,0.15885,0.06887,1.50465,5.22933,1.04323,0.000714466,0.000714466,0.000714466
15,26.4168,1.55908,1.00023,1.02976,0.20724,0.33333,0.12616,0.06282,1.47783,4.73968,1.04613,0.000758032,0.000758032,0.000758032
16,27.843,1.50627,1.21431,1.01002,0.21078,0.3415,0.12666,0.06114,1.53902,3.90467,1.05399,0.00080041,0.00080041,0.00080041
17,29.3039,1.69627,1.13617,1.10104,0.90981,0.72222,0.75486,0.41217,1.3801,1.98858,1.00832,0.0008416,0.0008416,0.0008416
18,31.1144,1.26633,0.8252,0.9641,0.75115,0.67101,0.77178,0.40837,1.32346,2.15258,0.99118,0.000881602,0.000881602,0.000881602
19,33.003,1.91918,1.14522,1.0648,0.45136,0.77778,0.44128,0.21759,1.35265,2.13901,0.99862,0.000920416,0.000920416,0.000920416
20,34.3418,1.49879,1.05561,1.00059,0.57041,0.83333,0.56141,0.30714,1.4228,1.71499,1.00583,0.000958042,0.000958042,0.000958042
21,35.9577,1.56978,0.96007,1.00393,0.81919,0.77778,0.826,0.45149,1.32265,1.25017,0.99019,0.00099448,0.00099448,0.00099448
22,37.4887,1.49185,0.94065,1.04635,0.7736,0.77778,0.68277,0.40285,1.28847,1.23204,0.96932,0.00102973,0.00102973,0.00102973
23,38.7651,1.57416,0.88192,1.00649,0.81292,0.77778,0.76494,0.41674,1.27588,1.31992,0.97044,0.00106379,0.00106379,0.00106379
24,40.1652,1.4573,1.02377,1.08471,0.77426,0.61111,0.61779,0.38492,1.30144,1.35556,0.98537,0.00109667,0.00109667,0.00109667
25,41.4927,2.16813,1.59893,1.12684,0.81676,0.55556,0.62526,0.39822,1.32811,1.38391,1.01056,0.00112835,0.00112835,0.00112835
26,43.1308,1.96868,1.80234,1.47964,0.77941,0.55556,0.6459,0.40973,1.39675,1.32971,1.01917,0.00115885,0.00115885,0.00115885
27,45.3234,1.38639,0.78816,1.03757,0.68295,0.71824,0.67021,0.44011,1.41397,1.31321,0.99857,0.00118816,0.00118816,0.00118816
28,46.8856,1.35542,0.77937,0.99806,0.77648,0.77778,0.69001,0.44413,1.34411,1.11691,0.97728,0.00121628,0.00121628,0.00121628
29,48.2914,1.37787,0.94252,1.08622,0.77648,0.77778,0.69001,0.44413,1.34411,1.11691,0.97728,0.00124322,0.00124322,0.00124322
30,49.6147,1.3352,0.74717,0.99059,0.81502,0.83333,0.77996,0.42199,1.39291,1.11412,0.98535,0.00126896,0.00126896,0.00126896
31,51.0251,1.46281,0.93164,0.94332,0.78446,0.8095,0.77006,0.4274,1.44406,1.2342,1.02327,0.00129352,0.00129352,0.00129352
32,52.3483,1.3125,0.80494,0.97269,0.78792,0.82595,0.74459,0.36929,1.52638,1.24429,1.04633,0.00131689,0.00131689,0.00131689
33,53.6366,1.36032,0.70655,0.96967,0.78792,0.82595,0.74459,0.36929,1.52638,1.24429,1.04633,0.00133907,0.00133907,0.00133907
34,55.0168,1.39193,0.87317,0.97744,0.77771,0.83333,0.7479,0.34269,1.54391,1.37204,1.04181,0.0013466,0.0013466,0.0013466
35,56.4619,1.33763,0.76599,0.95629,0.71473,0.83523,0.7619,0.39491,1.44463,1.08848,1.01307,0.0013268,0.0013268,0.0013268
36,58.4813,1.41658,0.76472,1.0079,0.78404,0.83333,0.77868,0.44155,1.3143,1.00468,0.99156,0.001307,0.001307,0.001307
37,59.963,1.62347,0.8236,1.027,0.78404,0.83333,0.77868,0.44155,1.3143,1.00468,0.99156,0.0012872,0.0012872,0.0012872
38,61.329,1.31948,0.77628,0.96878,0.75269,0.83333,0.73762,0.43971,1.34715,1.03035,0.98649,0.0012674,0.0012674,0.0012674
39,62.8235,1.26385,0.69751,0.91584,0.84162,0.72222,0.73203,0.4048,1.38605,1.08423,0.99013,0.0012476,0.0012476,0.0012476
40,64.2241,1.64926,1.8516,1.0636,0.84037,0.66667,0.66661,0.35933,1.40367,1.15736,0.98982,0.0012278,0.0012278,0.0012278
41,65.5077,1.25973,0.65782,0.92349,0.84037,0.66667,0.66661,0.35933,1.40367,1.15736,0.98982,0.001208,0.001208,0.001208
42,67.0198,1.38382,0.89036,0.95521,0.85837,0.72222,0.80021,0.40931,1.38685,0.96076,0.97243,0.0011882,0.0011882,0.0011882
43,68.3845,1.16428,0.60642,0.91014,0.88081,0.83333,0.86935,0.51174,1.31819,0.9015,0.95983,0.0011684,0.0011684,0.0011684
44,70.3248,1.39705,0.77642,1.0047,0.82765,0.88889,0.87466,0.50401,1.32899,0.86286,0.96391,0.0011486,0.0011486,0.0011486
45,71.9993,1.39985,0.70079,0.99572,0.82765,0.88889,0.87466,0.50401,1.32899,0.86286,0.96391,0.0011288,0.0011288,0.0011288
46,73.4577,1.46818,0.75012,1.01165,0.85544,0.83333,0.86916,0.51641,1.40261,0.91212,0.99795,0.001109,0.001109,0.001109
47,74.981,1.336,0.86081,0.92827,0.83967,0.87346,0.85751,0.50593,1.41582,0.93805,1.00835,0.0010892,0.0010892,0.0010892
48,76.3194,1.44157,0.8102,0.93194,0.84098,0.88179,0.85051,0.49359,1.3894,0.98624,1.00211,0.0010694,0.0010694,0.0010694
49,77.6608,1.4626,0.76656,0.97105,0.84098,0.88179,0.85051,0.49359,1.3894,0.98624,1.00211,0.0010496,0.0010496,0.0010496
50,78.9343,0.80978,0.6849,0.62771,0.83893,0.86879,0.82835,0.50596,1.32207,1.03415,0.97526,0.0010298,0.0010298,0.0010298
51,80.2822,1.11576,0.62355,0.87499,0.7915,0.88889,0.7993,0.46193,1.32859,1.09787,0.96925,0.00101,0.00101,0.00101
52,81.7248,1.32075,0.70096,0.91574,0.8414,0.8844,0.79142,0.4591,1.30452,1.07537,0.96655,0.0009902,0.0009902,0.0009902
53,83.3424,1.3073,0.68555,0.96214,0.8414,0.8844,0.79142,0.4591,1.30452,1.07537,0.96655,0.0009704,0.0009704,0.0009704
54,85.3696,1.0747,0.57532,0.85761,0.79551,0.88889,0.79492,0.47303,1.32995,1.04107,0.98221,0.0009506,0.0009506,0.0009506
55,86.7129,1.26836,0.7893,0.92723,0.78974,0.88889,0.7797,0.4444,1.31897,1.03503,0.99051,0.0009308,0.0009308,0.0009308
56,88.1304,1.15832,0.5535,0.95926,0.74543,0.88889,0.78309,0.43075,1.38921,1.07507,0.99507,0.000911,0.000911,0.000911
57,89.4362,1.13037,0.71746,0.93637,0.74543,0.88889,0.78309,0.43075,1.38921,1.07507,0.99507,0.0008912,0.0008912,0.0008912
58,90.8335,1.42072,0.70797,0.96184,0.75206,0.88889,0.8171,0.45314,1.3923,1.11281,0.99611,0.0008714,0.0008714,0.0008714
59,92.2952,1.14804,0.57781,0.99842,0.80636,0.88889,0.81568,0.47479,1.32894,1.04578,0.98992,0.0008516,0.0008516,0.0008516
60,93.7205,1.72638,2.1029,1.15108,0.83984,0.87452,0.83531,0.49736,1.3677,1.04168,1.00495,0.0008318,0.0008318,0.0008318
61,95.0412,1.36241,0.9509,0.87571,0.83984,0.87452,0.83531,0.49736,1.3677,1.04168,1.00495,0.000812,0.000812,0.000812
62,97.1871,0.98877,0.53722,0.91058,0.84056,0.87909,0.86579,0.53574,1.37666,1.04789,1.00389,0.0007922,0.0007922,0.0007922
63,99.0101,1.23917,0.60812,0.96528,0.8628,0.77778,0.8577,0.49655,1.43804,1.10389,1.01624,0.0007724,0.0007724,0.0007724
64,100.373,1.07368,0.57202,0.88763,0.87354,0.77778,0.84563,0.47963,1.42405,1.13319,1.02063,0.0007526,0.0007526,0.0007526
65,101.537,1.26077,0.6212,0.90065,0.87354,0.77778,0.84563,0.47963,1.42405,1.13319,1.02063,0.0007328,0.0007328,0.0007328
66,102.866,1.05926,0.56672,0.88584,0.83262,0.82931,0.82566,0.48041,1.40928,1.10323,1.01331,0.000713,0.000713,0.000713
67,104.165,1.09468,0.54952,0.94624,0.83329,0.83308,0.82504,0.46337,1.4227,1.13492,1.0136,0.0006932,0.0006932,0.0006932
68,105.522,1.03684,0.57939,0.94323,0.84102,0.88199,0.82225,0.45679,1.39863,1.1004,1.00442,0.0006734,0.0006734,0.0006734
69,106.795,1.11193,0.61672,0.90955,0.84102,0.88199,0.82225,0.45679,1.39863,1.1004,1.00442,0.0006536,0.0006536,0.0006536
70,108.301,1.06324,0.62195,0.87495,0.84203,0.88843,0.8005,0.42828,1.38345,1.12808,0.99652,0.0006338,0.0006338,0.0006338
71,110.154,1.2443,0.64599,0.9902,0.8369,0.88889,0.7893,0.41644,1.41674,1.18738,1.01562,0.000614,0.000614,0.000614
72,111.804,1.09175,0.56459,0.94494,0.83658,0.88889,0.79121,0.42372,1.43005,1.17785,1.02871,0.0005942,0.0005942,0.0005942
73,113.082,1.06035,0.55181,0.93785,0.83658,0.88889,0.79121,0.42372,1.43005,1.17785,1.02871,0.0005744,0.0005744,0.0005744
74,114.42,1.21113,0.66192,0.90159,0.83707,0.88889,0.79628,0.44545,1.38938,1.11879,1.02112,0.0005546,0.0005546,0.0005546
75,115.935,1.00466,0.48623,0.91248,0.7849,0.83333,0.76116,0.46291,1.34115,1.09106,1.00109,0.0005348,0.0005348,0.0005348
76,117.299,1.01797,0.57612,0.9202,0.78486,0.83333,0.7366,0.47308,1.27239,1.06087,0.98963,0.000515,0.000515,0.000515
77,118.5,0.9568,0.55592,0.94043,0.78486,0.83333,0.7366,0.47308,1.27239,1.06087,0.98963,0.0004952,0.0004952,0.0004952
78,119.825,0.9926,0.54105,0.8688,0.78556,0.83333,0.72613,0.46738,1.27562,1.023,0.98864,0.0004754,0.0004754,0.0004754
79,121.238,1.12514,0.56251,0.96533,0.83871,0.88889,0.78809,0.43997,1.29869,1.01519,0.99193,0.0004556,0.0004556,0.0004556
80,123.598,1.17679,0.60503,0.87297,0.83892,0.88889,0.79588,0.44421,1.34455,1.07408,0.99838,0.0004358,0.0004358,0.0004358
81,125.119,1.049,0.52193,0.95476,0.83892,0.88889,0.79588,0.44421,1.34455,1.07408,0.99838,0.000416,0.000416,0.000416
82,126.523,1.12866,0.55698,0.9651,0.83901,0.88889,0.82107,0.47196,1.37915,1.10271,1.00588,0.0003962,0.0003962,0.0003962
83,128.117,1.13373,0.67875,0.91838,0.83886,0.88889,0.8351,0.47742,1.34158,1.07218,0.99419,0.0003764,0.0003764,0.0003764
84,129.395,1.18686,0.56536,0.93425,0.83882,0.88889,0.84975,0.48868,1.31369,1.03763,0.98026,0.0003566,0.0003566,0.0003566
85,130.668,1.15885,0.56304,0.87555,0.83882,0.88889,0.84975,0.48868,1.31369,1.03763,0.98026,0.0003368,0.0003368,0.0003368
86,132.127,0.97192,0.51406,0.85574,0.78656,0.83333,0.79501,0.49446,1.32323,1.09563,0.98027,0.000317,0.000317,0.000317
87,133.367,0.94698,0.56592,0.88502,0.83914,0.88889,0.84031,0.49197,1.33926,1.12798,0.97885,0.0002972,0.0002972,0.0002972
88,134.867,1.1232,0.5813,0.99125,0.83917,0.88889,0.85014,0.51269,1.35147,1.09754,0.98001,0.0002774,0.0002774,0.0002774
89,136.768,1.11999,0.65163,0.89373,0.83917,0.88889,0.85014,0.51269,1.35147,1.09754,0.98001,0.0002576,0.0002576,0.0002576
90,138.208,0.96834,0.57004,0.89355,0.8394,0.88889,0.83623,0.50089,1.34717,1.10931,0.98271,0.0002378,0.0002378,0.0002378
91,142.96,1.5535,0.88953,1.01245,0.83979,0.88889,0.84308,0.49585,1.35853,1.10428,0.98202,0.000218,0.000218,0.000218
92,145.267,0.8685,0.50889,0.8652,0.84105,0.88889,0.85282,0.49446,1.35336,1.11243,0.98075,0.0001982,0.0001982,0.0001982
93,147.038,0.97614,0.54709,0.9441,0.84105,0.88889,0.85282,0.49446,1.35336,1.11243,0.98075,0.0001784,0.0001784,0.0001784
94,149.232,0.91481,0.47605,0.89392,0.84061,0.88889,0.84792,0.50273,1.30676,1.0771,0.97349,0.0001586,0.0001586,0.0001586
95,150.823,0.74597,0.42578,0.85304,0.84124,0.88889,0.85314,0.50743,1.29409,1.05217,0.96623,0.0001388,0.0001388,0.0001388
96,152.08,1.12224,0.54319,0.9523,0.84034,0.88889,0.84679,0.53428,1.28165,1.05953,0.96317,0.000119,0.000119,0.000119
97,153.434,0.9091,0.49347,0.87402,0.84034,0.88889,0.84679,0.53428,1.28165,1.05953,0.96317,9.92e-05,9.92e-05,9.92e-05
98,154.883,0.80797,0.45565,0.86374,0.83934,0.88889,0.8393,0.5375,1.27521,1.07167,0.96123,7.94e-05,7.94e-05,7.94e-05
99,156.253,1.03546,0.60449,0.84221,0.83898,0.88889,0.85203,0.54838,1.27327,1.07676,0.96151,5.96e-05,5.96e-05,5.96e-05
100,157.669,1.04018,0.788,0.85239,0.83905,0.88889,0.84997,0.54027,1.25721,1.05779,0.95882,3.98e-05,3.98e-05,3.98e-05
